"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2020","1,345.10","1,315.00","1,357.00","1,304.50","174.95K","2.71%"
"07/16/2020","1,309.60","1,288.60","1,317.00","1,282.15","87.01K","1.63%"
"07/15/2020","1,288.60","1,296.20","1,306.20","1,285.05","60.06K","-0.21%"
"07/14/2020","1,291.35","1,315.00","1,329.00","1,280.25","143.76K","-2.09%"
"07/13/2020","1,318.95","1,332.00","1,334.90","1,295.00","121.33K","-0.43%"
"07/10/2020","1,324.60","1,300.00","1,339.80","1,296.00","471.79K","1.69%"
"07/09/2020","1,302.65","1,299.00","1,313.55","1,282.10","303.08K","0.41%"
"07/08/2020","1,297.30","1,290.00","1,335.00","1,290.00","343.82K","-0.17%"
"07/07/2020","1,299.50","1,298.00","1,304.00","1,285.10","207.31K","1.58%"
"07/06/2020","1,279.30","1,286.40","1,309.95","1,275.00","258.39K","-0.55%"
"07/03/2020","1,286.40","1,283.90","1,306.00","1,271.10","370.79K","0.66%"
"07/02/2020","1,277.95","1,275.00","1,300.00","1,264.30","210.84K","0.10%"
"07/01/2020","1,276.65","1,267.00","1,285.00","1,252.00","191.32K","-0.56%"
"06/30/2020","1,283.90","1,269.00","1,292.40","1,243.00","387.33K","2.05%"
"06/29/2020","1,258.05","1,241.90","1,269.95","1,225.25","197.14K","1.48%"
"06/26/2020","1,239.75","1,237.80","1,251.40","1,230.00","348.69K","0.87%"
"06/25/2020","1,229.00","1,217.00","1,234.25","1,201.45","127.28K","0.29%"
"06/24/2020","1,225.45","1,249.70","1,260.00","1,220.00","126.77K","-0.98%"
"06/23/2020","1,237.55","1,258.95","1,261.15","1,235.00","178.70K","-1.16%"
"06/22/2020","1,252.05","1,281.65","1,281.65","1,247.40","118.69K","-1.72%"
"06/19/2020","1,274.00","1,275.00","1,282.95","1,262.35","189.66K","0.54%"
"06/18/2020","1,267.20","1,264.00","1,276.25","1,261.85","83.95K","0.49%"
"06/17/2020","1,261.00","1,250.00","1,286.00","1,246.55","209.64K","0.57%"
"06/16/2020","1,253.85","1,278.85","1,285.00","1,241.95","270.33K","-0.99%"
"06/15/2020","1,266.40","1,221.00","1,274.40","1,219.00","479.37K","4.26%"
"06/12/2020","1,214.70","1,180.00","1,238.45","1,172.30","465.38K","1.18%"
"06/11/2020","1,200.55","1,200.15","1,222.00","1,195.15","271.96K","-0.20%"
"06/10/2020","1,203.00","1,202.45","1,212.30","1,190.25","235.80K","0.81%"
"06/09/2020","1,193.35","1,205.00","1,221.00","1,178.00","414.59K","-0.54%"
"06/08/2020","1,199.80","1,230.00","1,234.00","1,183.55","275.09K","-0.87%"
"06/05/2020","1,210.35","1,227.00","1,244.00","1,201.00","203.76K","-0.82%"
"06/04/2020","1,220.30","1,295.40","1,298.50","1,213.25","304.54K","-5.24%"
"06/03/2020","1,287.80","1,310.00","1,333.00","1,278.05","485.09K","-0.87%"
"06/02/2020","1,299.15","1,307.00","1,342.00","1,282.85","545.78K","-0.19%"
"06/01/2020","1,301.65","1,344.75","1,368.65","1,297.65","583.50K","-1.99%"
"05/29/2020","1,328.05","1,255.00","1,344.00","1,240.00","566.32K","4.98%"
"05/28/2020","1,265.05","1,286.10","1,294.00","1,242.00","236.16K","-1.46%"
"05/27/2020","1,283.85","1,210.00","1,291.00","1,208.45","439.24K","6.91%"
"05/26/2020","1,200.90","1,130.00","1,210.00","1,127.00","386.07K","6.21%"
"05/22/2020","1,130.70","1,130.00","1,147.20","1,111.05","145.88K","0.06%"
"05/21/2020","1,130.05","1,120.00","1,139.05","1,112.65","101.36K","0.91%"
"05/20/2020","1,119.85","1,122.60","1,150.00","1,109.00","279.06K","-0.03%"
"05/19/2020","1,120.20","1,122.80","1,135.00","1,105.00","160.35K","0.45%"
"05/18/2020","1,115.20","1,164.00","1,164.95","1,103.00","193.49K","-3.59%"
"05/15/2020","1,156.70","1,119.90","1,172.00","1,112.00","427.24K","4.07%"
"05/14/2020","1,111.50","1,107.00","1,125.00","1,104.70","146.56K","0.35%"
"05/13/2020","1,107.60","1,136.00","1,140.00","1,104.00","148.84K","-0.27%"
"05/12/2020","1,110.55","1,114.80","1,125.40","1,100.85","113.64K","-0.50%"
"05/11/2020","1,116.15","1,129.00","1,133.95","1,105.25","230.53K","-0.44%"
"05/08/2020","1,121.05","1,120.00","1,147.95","1,112.00","249.85K","1.11%"
"05/07/2020","1,108.75","1,080.80","1,120.00","1,080.80","226.14K","2.12%"
"05/06/2020","1,085.75","1,065.00","1,091.00","1,054.95","163.84K","2.27%"
"05/05/2020","1,061.70","1,095.00","1,125.00","1,041.00","423.29K","-2.16%"
"05/04/2020","1,085.15","1,030.00","1,093.00","1,020.00","339.97K","1.64%"
"04/30/2020","1,067.60","1,070.00","1,125.00","1,056.45","729.31K","2.18%"
"04/29/2020","1,044.80","1,100.00","1,108.00","1,040.00","302.22K","-4.65%"
"04/28/2020","1,095.75","1,122.00","1,134.65","1,080.20","371.77K","-1.04%"
"04/27/2020","1,107.30","1,080.00","1,124.50","1,075.00","335.29K","3.15%"
"04/24/2020","1,073.45","1,058.00","1,086.80","1,010.05","663.99K","1.40%"
"04/23/2020","1,058.60","1,011.00","1,073.00","1,011.00","737.96K","6.85%"
