"","x"
"1657",1430
"1658",27776
"1659",1345
"1660",51500
"1661",1994
"1662",19624
"1663",91198
"1664",51142
"1665",8766
"1666",72842
"1667",52766
"1668",72653
"1669",4296
"1670",17717
"1671",6
"1672",323
"1673",239
"1674",82
"1675",100
"1676",295
"1677",156
"1678",141
"1679",3935
"1680",1924
"1681",3621
"1682",99
"1683",348
"1684",14068
"1685",4815
"1686",53140
"1687",19492
"1688",575
"1689",763
"1690",6753
"1691",27490
"1692",15369
"1693",125470
"1694",16711
"1695",245
"1696",1068
"1697",10055
"1698",9728
"1699",50751
"1700",3154
"1701",1939
"1702",1250
"1703",62277
"1704",1483
"1705",791
"1706",555
"1707",1784
"1708",4544
"1709",122
"1710",3580
"1711",1844
"1712",22274
"1713",431
"1714",22253
"1715",325149
"1716",564
"1717",21390
"1718",6078
"1719",34
"1720",1428
"1721",1055
"1722",1752
"1723",58690
"1724",2023
"1725",12152
"1726",6013
"1727",1272
"1728",2307
"1729",8229
"1730",4546
"1731",59
"1732",890
"1733",2787
"1734",313
"1735",8820
"1736",192955
"1737",2120
"1738",61104
"1739",1539
"1740",39785
"1741",15920
"1742",7218
"1743",16532
"1744",76
"1745",24282
"1746",418
"1747",2906
"1748",16424
"1749",16865
"1750",736
"1751",16797
"1752",500
"1753",7391
"1754",5944
"1755",45238
"1756",13195
"1757",28738
"1758",8284
"1759",3080
"1760",25091
"1761",6682
"1762",6066
"1763",9
"1764",752
"1765",3262
"1766",100
"1767",3380
"1768",31542
"1769",2034
"1770",29462
"1771",4800
"1772",14576
"1773",20700
"1774",4361
"1775",13530
"1776",2617
"1777",297
"1778",3070
"1779",19861
"1780",175
"1781",5443
"1782",288486
"1783",1206
"1784",134536
"1785",1236
"1786",861
"1787",1151
"1788",9598
"1789",956
"1790",190
"1791",18993
"1792",9927
"1793",5984
"1794",8188
"1795",3263
"1796",650
"1797",16003
"1798",55660
"1799",5389
"1800",3975
"1801",1257
"1802",174
"1803",205
"1804",34422
"1805",23199
"1806",57854
"1807",12
"1808",12721
"1809",101541
"1810",20920
"1811",10704
"1812",12960
"1813",9486
"1814",9266
"1815",45417
"1816",91447
"1817",61096
"1818",6108
"1819",7338
"1820",64428
"1821",13867
